ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
149.69070891,1.71459691,0.7594,-22.53,29.63,15,81.0,284635.0,783.0
149.91044353,1.88507344,0.7618,-22.63,29.87,16,70.0,391497.0,744.0
149.97916934,1.80913788,0.79,-22.46,29.6,15,56.0,343427.0,768.0
149.47744872,1.78023483,0.7931,-21.94,29.71,16,45.0,324867.0,23.0
149.70670515,1.96093128,0.7938,-22.19,30.03,11,61.0,439220.0,800.0
149.59847018,1.7545214,0.7943,-22.77,30.33,13,66.0,308471.0,781.0
150.44457915,2.75178447,0.8,-23.87,30.13,23,130.0,952997.0,45.0
150.68959247,2.75328692,0.8,-22.94,29.94,20,79.0,956350.0,461.0
150.03505518,2.65224417,0.801,-23.02,29.81,21,71.0,892922.0,524.0
150.4789936,2.56802647,0.8074,-22.83,29.74,23,127.0,838958.0,166.0
149.97118419,2.04976462,0.8084,-22.7,30.1,16,79.0,494211.0,463.0
150.55867024,2.65458886,0.8176,-23.38,29.93,24,143.0,894148.0,156.0
150.5557152,2.21142652,0.8212,-23.67,30.07,38,243.0,602486.0,30.0
150.75090336,2.21415796,0.8215,-23.27,29.9,14,59.0,604819.0,655.0
150.35433076,2.61912474,0.8218,-22.56,29.62,10,80.0,870733.0,372.0
150.36932356,1.99948478,0.8224,-23.43,29.96,42,161.0,463397.0,46.0
150.68423832,2.40765001,0.8277,-22.87,29.77,29,132.0,732178.0,131.0
150.21844026,2.05774908,0.83,-23.79,30.12,32,115.0,498357.0,91.0
149.8549305,1.89203794,0.8302,-22.65,29.67,8,70.0,396398.0,771.0
150.66156888,1.92556291,0.8309,-23.1,29.85,31,88.0,417713.0,125.0
149.64162337,1.98022999,0.8325,-22.83,30.25,12,86.0,451970.0,662.0
150.12966905,1.67890731,0.8398,-23.32,29.93,16,66.0,261782.0,352.0
149.55172939,2.43718281,0.84,-23.73,30.09,35,150.0,752457.0,52.0
149.66715531,2.37191406,0.84,-23.9,30.16,30,132.0,709386.0,62.0
150.23484827,1.76324341,0.8402,-23.57,30.02,12,108.0,315176.0,594.0
149.6973074,2.2939972,0.8473,-23.39,30.48,18,139.0,657006.0,271.0
149.98124694,1.64665466,0.8488,-22.7,29.84,11,58.0,241818.0,769.0
149.80523929,2.43113837,0.8496,-23.01,30.12,19,73.0,748258.0,628.0
150.15757854,1.89762696,0.8515,-22.92,29.91,16,104.0,400223.0,349.0
149.75317678,1.86917909,0.8532,-22.01,29.41,14,69.0,380951.0,758.0
150.10887776,2.01161058,0.8577,-22.67,29.67,19,90.0,471201.0,599.0
150.2148294,2.28668901,0.8623,-22.99,29.9,46,199.0,651583.0,43.0
150.16000165,2.59545542,0.8646,-23.59,30.03,49,164.0,856782.0,36.0
149.47364251,2.26618958,0.8655,-22.94,30.08,28,118.0,638421.0,238.0
150.53690147,2.07603675,0.8699,-23.39,29.95,26,128.0,512320.0,233.0
150.03061464,1.66394321,0.8702,-22.7,29.8,17,59.0,253009.0,612.0
149.54958473,1.99398867,0.8703,-23.63,30.05,35,121.0,459784.0,59.0
150.08616821,2.53138475,0.8703,-23.97,30.18,62,196.0,813654.0,25.0
150.42768087,2.13139082,0.8721,-23.36,29.94,38,203.0,547997.0,31.0
150.21750397,2.40031657,0.8748,-23.4,29.96,39,151.0,728559.0,61.0
150.17890128,1.86439368,0.878,-23.29,29.92,13,131.0,378300.0,480.0
149.88515409,2.29750496,0.8786,-22.21,29.48,24,104.0,658132.0,315.0
150.2319335,1.6630191,0.88,-23.61,30.16,19,65.0,251179.0,375.0
150.31452487,2.47292903,0.8809,-23.19,29.89,22,80.0,775012.0,201.0
149.92211713,2.60803508,0.8858,-23.69,30.21,30,230.0,864423.0,39.0
149.72046877,2.71026574,0.8895,-22.92,30.2,31,113.0,930673.0,90.0
150.3957695,2.48154668,0.8951,-23.84,30.15,31,147.0,781090.0,49.0
150.16252631,1.64585487,0.9001,-22.53,29.83,11,55.0,241791.0,485.0
150.44783217,1.8505031,0.9053,-22.9,29.76,33,122.0,370210.0,63.0
150.67298151,2.22875039,0.9058,-22.55,29.79,14,87.0,613033.0,443.0
150.53701831,2.67023796,0.9096,-23.47,29.98,28,122.0,903454.0,100.0
149.51531958,2.12443062,0.91,-22.69,29.95,20,91.0,542181.0,496.0
149.97916848,1.66913655,0.91,-22.11,29.78,20,75.0,255179.0,551.0
149.96118045,2.03854136,0.9131,-22.41,29.42,22,93.0,487992.0,15.0
150.26255475,1.91866544,0.9141,-22.73,29.73,17,166.0,413336.0,107.0
149.47398124,1.80453562,0.9196,-22.2,29.87,11,46.0,341614.0,786.0
150.02383067,2.20321087,0.9232,-24.04,30.23,54,251.0,597276.0,27.0
149.88828596,1.92069372,0.9263,-22.86,29.77,18,107.0,414540.0,417.0
150.37580657,2.72661361,0.9269,-23.32,29.95,20,144.0,940378.0,79.0
150.54854244,2.49867892,0.9296,-23.9,30.16,25,107.0,792094.0,283.0
149.50153697,2.30546044,0.9297,-23.49,30.01,21,117.0,664600.0,195.0
150.67798549,2.74058775,0.93,-23.82,30.12,22,99.0,949217.0,291.0
150.26387119,1.97137273,0.9311,-23.15,30.18,27,141.0,445637.0,99.0
150.74711106,2.55025233,0.9352,-23.54,30.0,12,64.0,826436.0,553.0
150.59709602,2.63657468,0.9369,-22.7,29.68,8,91.0,882299.0,734.0
149.63425687,2.71804537,0.9384,-22.4,29.66,19,79.0,935243.0,459.0
149.44954414,2.43636765,0.945,-23.86,30.57,15,94.0,752001.0,323.0
149.66443785,1.93661478,0.9481,-22.76,30.31,16,109.0,423571.0,338.0
150.70832157,1.95460233,0.9507,-23.2,29.88,8,48.0,434868.0,796.0
149.7684392,2.05935406,0.9518,-23.0,30.44,16,130.0,500929.0,397.0
149.94617613,1.858094,0.9521,-22.53,29.61,20,98.0,373747.0,450.0
149.79885853,1.68566456,0.9536,-22.84,29.76,29,84.0,265461.0,154.0
149.72665718,1.76552826,0.9551,-22.71,29.68,11,102.0,315495.0,471.0
149.97314119,2.33800111,0.9552,-23.36,29.96,50,253.0,686241.0,26.0
149.85517715,2.14281594,0.9561,-22.71,29.8,33,131.0,556019.0,74.0
149.51164814,2.74422259,0.9564,-22.8,29.83,15,59.0,951118.0,639.0
149.52048448,2.58987353,0.9595,-23.41,29.98,26,148.0,852669.0,129.0
150.40580744,2.49121374,0.9626,-23.16,30.02,21,127.0,786467.0,84.0
149.48627107,1.83628997,0.9626,-23.14,29.95,15,83.0,361500.0,467.0
149.81699521,1.89952284,0.964,-22.82,30.11,22,103.0,401462.0,329.0
149.52378936,1.64989033,0.9643,-22.5,29.63,9,44.0,242971.0,787.0
149.7244189,2.50929015,0.965,-22.65,30.24,18,81.0,799465.0,697.0
150.13699656,1.93794859,0.9659,-22.89,29.77,25,113.0,424867.0,230.0
150.12945036,2.20638872,0.9665,-23.0,29.81,27,190.0,597425.0,38.0
150.66492248,2.24218063,0.9702,-23.33,30.23,27,155.0,621568.0,97.0
150.29564681,2.0349543,0.9761,-22.96,29.79,41,200.0,484128.0,53.0
150.17026626,1.81218758,0.9786,-22.69,30.06,15,101.0,345313.0,602.0
150.61459792,2.08104773,0.9788,-23.26,29.91,23,127.0,515167.0,294.0
150.46863419,1.9368,0.9814,-23.06,29.84,27,117.0,424484.0,4.0
150.22494377,1.76008649,0.9828,-23.32,29.93,39,143.0,312633.0,40.0
150.09859379,1.72683243,0.9841,-22.9,29.78,17,88.0,291887.0,564.0
150.70424985,2.66861665,0.9841,-22.27,29.9,17,86.0,901779.0,204.0
149.85360769,2.5854975,0.9861,-23.57,30.04,41,149.0,848867.0,37.0
149.939875,2.6883353,0.987,-23.52,30.81,24,167.0,915965.0,124.0
149.48986166,2.02657633,0.9875,-23.8,30.12,40,165.0,480769.0,28.0
150.66242081,2.38039387,0.9876,-22.27,30.18,31,164.0,713613.0,89.0
150.74711897,2.43715474,0.988,-23.78,30.12,18,96.0,752318.0,50.0
150.17615309,2.60812054,0.9883,-23.22,29.9,20,95.0,864033.0,149.0
150.41198388,1.83116159,0.989,-23.85,30.15,39,148.0,353441.0,35.0
150.69686396,2.14504507,0.989,-23.86,30.15,17,130.0,557866.0,252.0
150.44008422,1.74145902,0.9892,-24.06,30.22,28,125.0,297176.0,292.0
150.32390027,2.28228667,0.9897,-23.8,30.14,27,115.0,649380.0,85.0
150.46364055,2.44047876,0.9907,-23.84,30.15,15,134.0,753651.0,187.0
149.64833739,2.34140604,0.9919,-23.9,30.17,43,199.0,690316.0,33.0
150.36048277,2.39479671,0.9925,-24.1,30.29,10,70.0,724606.0,755.0
149.64052404,2.17320197,0.9927,-23.52,29.99,39,247.0,575271.0,32.0
149.50709636,2.21272752,0.9948,-23.3,30.47,29,163.0,603296.0,69.0
150.60875685,2.46738446,0.9972,-22.53,29.63,18,90.0,770441.0,178.0
149.87566096,2.13724175,1.0041,-23.62,30.06,16,145.0,552118.0,120.0
149.93479445,1.92427982,1.005,-22.56,29.66,17,84.0,415906.0,623.0
149.97553455,1.66822744,1.0052,-23.23,30.46,21,74.0,254919.0,270.0
149.78002124,2.30235775,1.0068,-23.59,30.05,36,182.0,663215.0,48.0
150.58128504,2.5541307,1.0118,-23.24,29.99,17,91.0,823979.0,625.0
150.16065006,2.69235541,1.0162,-23.37,29.97,21,132.0,918707.0,76.0
150.70110432,2.76540609,1.0308,-23.03,29.95,17,82.0,964020.0,520.0
150.64460482,2.67797101,1.05,-23.41,29.98,26,90.0,910452.0,6.0
150.74671116,2.3251279,1.0804,-23.58,30.05,25,127.0,676723.0,87.0
150.7063332,2.58873767,1.0807,-21.78,29.78,13,46.0,850580.0,736.0
150.54253353,2.6707418,1.0834,-23.31,30.66,16,103.0,904638.0,420.0
149.46395042,2.77308569,1.0873,-23.55,30.13,21,84.0,969423.0,139.0
149.97721408,1.66755544,1.0874,-22.78,29.74,16,67.0,253659.0,705.0
149.72177058,1.88384311,1.0878,-22.67,29.68,15,89.0,391057.0,689.0
149.62721441,2.19740281,1.088,-22.36,30.07,21,92.0,590826.0,257.0
150.13614684,2.72565376,1.0894,-23.05,29.83,24,107.0,938880.0,146.0
150.01949593,1.71108185,1.0898,-22.48,29.94,12,83.0,280719.0,521.0
150.73537976,2.46030352,1.0932,-22.45,30.02,16,75.0,765809.0,570.0
150.33965297,2.46623522,1.0952,-23.24,29.9,12,74.0,770047.0,747.0
150.02010623,2.44212773,1.0984,-22.32,30.26,16,63.0,754500.0,674.0
150.47986283,1.8955518,1.1013,-23.3,29.9,13,63.0,396134.0,505.0
150.58739634,2.77705603,1.1052,-22.62,29.66,18,67.0,970833.0,575.0
149.61098415,1.85965597,1.1062,-22.99,29.8,21,86.0,375390.0,241.0
149.53266438,2.55686915,1.1109,-22.53,29.76,15,113.0,829478.0,428.0
149.96818807,1.95742849,1.113,-23.1,29.87,12,88.0,436675.0,495.0
