ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.08344992,2.55906453,0.5098,-21.47,29.3,10,50.0,831694.0,41.0
150.21038747,1.81648749,0.5305,-22.46,29.59,19,63.0,348419.0,94.0
150.46449749,2.05995909,0.5417,-23.52,30.03,23,50.0,497616.0,127.0
149.52361555,1.75897202,0.5609,-23.43,29.99,17,56.0,309192.0,198.0
149.61938099,1.73543421,0.59,-23.16,29.88,11,50.0,292852.0,314.0
150.54041687,2.58662238,0.608,-21.63,29.65,13,50.0,849815.0,21.0
150.64772399,2.72774745,0.6143,-22.63,30.09,12,50.0,941406.0,340.0
150.14812325,2.51784537,0.6516,-23.11,29.87,20,76.0,804406.0,75.0
149.63358838,1.90317999,0.6551,-22.75,29.72,15,56.0,403885.0,138.0
150.31729226,2.32273703,0.66,-21.96,29.83,9,56.0,674895.0,204.0
149.76667507,1.75572328,0.6605,-21.28,29.45,13,73.0,310355.0,167.0
150.00381587,2.11456673,0.6664,-22.28,29.65,11,66.0,536438.0,197.0
150.18997485,2.15533785,0.6686,-22.91,29.78,22,82.0,564353.0,102.0
149.72485989,1.87606749,0.6695,-22.07,29.77,16,58.0,386871.0,132.0
149.76534039,2.00047647,0.6703,-22.34,29.57,12,53.0,464121.0,168.0
149.89363397,2.56300425,0.6762,-21.66,29.29,12,69.0,833286.0,159.0
150.05775592,2.61029904,0.68,-23.01,29.83,23,77.0,866167.0,74.0
150.09239921,2.19362661,0.6801,-22.95,29.81,16,53.0,590057.0,135.0
150.32820645,2.39667926,0.6917,-22.16,30.21,9,50.0,725512.0,254.0
150.17259634,2.52333517,0.6946,-22.78,29.73,16,56.0,809179.0,117.0
150.20291685,2.3630608,0.7098,-22.97,29.81,11,50.0,704594.0,351.0
149.52932682,2.65909249,0.7178,-22.86,29.87,8,50.0,897133.0,489.0
149.91320934,2.51219989,0.7179,-23.48,30.02,50,135.0,801764.0,60.0
150.05668881,2.30139264,0.7249,-23.11,29.87,21,70.0,661723.0,81.0
149.85012465,2.39282188,0.728,-22.44,29.58,14,62.0,721902.0,154.0
150.0292913,2.69014135,0.7357,-22.81,30.04,15,52.0,917600.0,176.0
150.42447032,2.77366279,0.7909,-23.36,30.09,13,53.0,969859.0,106.0
150.55976543,2.6533078,0.8051,-22.59,29.62,20,70.0,892536.0,85.0
150.4789936,2.56802647,0.8074,-22.83,29.74,13,55.0,838958.0,258.0
150.36828588,2.15425932,0.8147,-23.07,29.94,12,59.0,563904.0,165.0
149.93373458,2.37217237,0.8185,-20.79,29.02,10,53.0,708027.0,44.0
150.4583582,2.547132,0.8188,-22.23,29.45,13,54.0,822677.0,266.0
150.39077663,1.78912306,0.8196,-21.65,29.67,12,55.0,329797.0,277.0
150.36932356,1.99948478,0.8224,-23.43,29.96,24,80.0,463397.0,70.0
150.50503624,2.22506954,0.825,-23.98,30.19,28,95.0,611604.0,66.0
149.55284532,2.42821548,0.8251,-22.5,30.13,20,75.0,745476.0,84.0
150.33672932,1.89986145,0.8274,-21.49,29.21,11,55.0,399876.0,224.0
150.68423832,2.40765001,0.8277,-22.87,29.77,15,57.0,732178.0,7.0
149.97195383,2.32126994,0.8388,-22.19,29.63,9,57.0,673479.0,287.0
150.20878049,2.28280297,0.8402,-21.38,29.52,16,60.0,648809.0,107.0
150.41722064,1.97600944,0.8424,-22.91,29.77,19,60.0,446194.0,101.0
150.30882677,2.08215249,0.8559,-22.93,30.2,12,55.0,515836.0,346.0
150.14262759,2.19698973,0.8568,-22.41,30.08,14,51.0,591055.0,232.0
150.43814868,2.50900424,0.8611,-21.14,29.33,13,51.0,796727.0,530.0
150.45340362,2.14294435,0.8613,-22.76,29.71,14,72.0,555663.0,144.0
150.2148294,2.28668901,0.8623,-22.99,29.9,17,69.0,651583.0,105.0
