ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.06508711,1.7418657,0.7206,-22.47,29.61,15,67,301432.0,818.0
150.05668881,2.30139264,0.7249,-23.11,29.87,48,117,661723.0,71.0
150.11418596,1.91325779,0.7271,-22.78,29.73,21,62,410259.0,688.0
150.42302989,1.80733574,0.7275,-23.13,29.98,13,42,341759.0,960.0
149.85012465,2.39282188,0.728,-22.44,29.58,34,89,721902.0,192.0
149.96053062,1.78236063,0.7289,-22.87,29.76,15,45,327303.0,954.0
149.48552197,2.45478574,0.73,-23.01,29.83,21,66,764000.0,428.0
149.60655363,2.4426076,0.7308,-22.88,30.06,15,57,755416.0,864.0
149.84688416,2.31016843,0.7311,-22.75,29.83,11,55,666893.0,808.0
149.83728876,1.98590412,0.7314,-22.13,29.48,17,48,455156.0,935.0
150.02222183,1.89450509,0.7345,-21.81,29.66,15,42,396963.0,967.0
150.66778692,2.02362883,0.7348,-23.05,29.84,17,52,478550.0,794.0
150.20613025,1.82203798,0.7351,-22.14,29.79,14,59,350404.0,931.0
149.83885667,1.6830623,0.7388,-24.2,30.3,37,80,262008.0,550.0
150.29638089,2.38320879,0.7402,-23.12,30.06,40,116,717223.0,103.0
149.92968671,2.53270729,0.7403,-23.72,30.13,95,268,814496.0,29.0
149.68041726,2.03888829,0.7481,-22.21,29.8,13,42,488140.0,956.0
149.71889554,2.67460381,0.7481,-22.59,29.66,14,44,907506.0,963.0
150.29936764,1.78827639,0.7494,-21.19,29.83,8,51,329414.0,968.0
149.97466817,2.55548437,0.7498,-23.57,30.04,52,156,826407.0,60.0
149.46158064,1.79841947,0.75,-22.11,29.78,17,44,336809.0,891.0
149.69070891,1.71459691,0.7594,-22.53,29.63,20,57,284635.0,923.0
149.91044353,1.88507344,0.7618,-22.63,29.87,27,65,391497.0,855.0
149.63178978,1.67718951,0.7731,-22.82,29.94,16,52,257389.0,911.0
150.7328082,2.63238242,0.7845,-22.94,29.4,15,60,874442.0,659.0
150.12370661,1.99677165,0.7873,-23.03,29.93,32,65,460730.0,672.0
149.65590262,1.90035104,0.79,-22.54,29.63,21,75,401170.0,895.0
150.59232379,2.10942224,0.7903,-22.7,29.82,21,59,533504.0,652.0
150.42447032,2.77366279,0.7909,-23.36,30.09,41,123,969859.0,52.0
149.70670515,1.96093128,0.7938,-22.19,30.03,17,51,439220.0,948.0
149.59847018,1.7545214,0.7943,-22.77,30.33,18,45,308471.0,918.0
150.68959247,2.75328692,0.8,-22.94,29.94,28,70,956350.0,527.0
150.16631612,1.66681466,0.8012,-23.16,29.88,22,74,254764.0,271.0
150.63327035,2.44845958,0.8043,-23.15,30.31,18,92,759378.0,558.0
149.97118419,2.04976462,0.8084,-22.7,30.1,27,78,494211.0,530.0
149.79616206,1.77448513,0.8165,-22.74,30.25,17,61,321403.0,889.0
150.54646726,2.59661722,0.8196,-23.23,29.88,28,89,857343.0,334.0
150.55755454,1.93280551,0.8201,-22.28,29.51,23,75,422230.0,791.0
150.75090336,2.21415796,0.8215,-23.27,29.9,16,54,604819.0,743.0
150.36932356,1.99948478,0.8224,-23.43,29.96,55,122,463397.0,53.0
150.49915544,1.690419,0.826,-22.15,29.46,12,44,268639.0,950.0
149.71841813,1.82541114,0.8267,-23.0,29.9,14,43,354528.0,969.0
150.68423832,2.40765001,0.8277,-22.87,29.77,37,116,732178.0,150.0
150.13676125,1.88049967,0.8278,-22.65,29.67,32,92,389394.0,390.0
149.57425483,2.20155099,0.8299,-23.11,29.84,18,69,595730.0,839.0
150.21844026,2.05774908,0.83,-23.79,30.12,44,115,498357.0,106.0
150.74303422,2.68049621,0.8301,-23.42,29.96,32,77,911466.0,215.0
150.66156888,1.92556291,0.8309,-23.1,29.85,42,90,417713.0,145.0
149.64162337,1.98022999,0.8325,-22.83,30.25,13,61,451970.0,757.0
150.65005438,2.54356171,0.8352,-23.19,29.88,23,56,822352.0,690.0
150.12966905,1.67890731,0.8398,-23.32,29.93,28,75,261782.0,392.0
150.07280939,1.73612652,0.84,-23.42,29.97,20,49,298010.0,26.0
149.55172939,2.43718281,0.84,-23.73,30.09,38,97,752457.0,62.0
150.51499072,1.97994588,0.8411,-23.04,30.24,43,109,451213.0,223.0
150.26576417,1.96309383,0.8427,-23.75,30.11,42,113,440587.0,116.0
149.94563086,2.22793627,0.8429,-22.48,29.71,25,79,612375.0,811.0
149.95309982,1.67820825,0.8533,-22.59,29.63,17,48,261524.0,896.0
150.6741277,2.06318479,0.8599,-23.23,29.9,24,88,503592.0,671.0
150.43662228,1.96620848,0.86,-22.96,30.17,44,115,443074.0,77.0
150.2148294,2.28668901,0.8623,-22.99,29.9,60,161,651583.0,50.0
150.16000165,2.59545542,0.8646,-23.59,30.03,62,142,856782.0,41.0
150.64850648,2.58770214,0.868,-22.93,29.78,28,75,850234.0,857.0
149.47749701,2.72141038,0.8698,-23.77,30.11,40,92,936797.0,202.0
149.98327578,2.31715893,0.87,-23.49,30.12,80,199,672322.0,31.0
150.03061464,1.66394321,0.8702,-22.7,29.8,26,64,253009.0,693.0
150.08616821,2.53138475,0.8703,-23.97,30.18,67,147,813654.0,30.0
149.54958473,1.99398867,0.8703,-23.63,30.05,48,100,459784.0,70.0
150.02243609,2.2045718,0.8706,-23.47,30.11,37,96,598160.0,296.0
149.82371113,2.40998994,0.871,-23.23,29.9,18,61,734342.0,709.0
150.42768087,2.13139082,0.8721,-23.36,29.94,50,158,547997.0,36.0
150.54677841,2.19429424,0.8744,-23.75,30.1,79,171,589836.0,35.0
150.21750397,2.40031657,0.8748,-23.4,29.96,56,105,728559.0,72.0
150.07953604,2.43001226,0.8772,-23.42,29.96,33,83,740865.0,281.0
149.48772767,1.70423712,0.8799,-23.36,30.08,9,43,277760.0,962.0
150.2319335,1.6630191,0.88,-23.61,30.16,27,64,251179.0,420.0
149.90555925,2.71828501,0.88,-23.45,29.97,52,127,934979.0,49.0
150.31452487,2.47292903,0.8809,-23.19,29.89,37,76,775012.0,226.0
149.91578217,2.66231579,0.8875,-23.25,30.3,50,184,899129.0,44.0
149.72046877,2.71026574,0.8895,-22.92,30.2,40,87,930673.0,105.0
150.73508483,2.59183895,0.8919,-23.07,29.83,19,59,853492.0,623.0
150.72491748,2.66882017,0.8996,-22.71,30.63,36,86,902592.0,229.0
149.96253371,1.79041675,0.9002,-22.72,29.89,12,42,331639.0,917.0
150.53701831,2.67023796,0.9096,-23.47,29.98,35,94,903454.0,117.0
149.50357861,2.59543076,0.9162,-23.44,30.12,41,117,853322.0,149.0
150.15442493,2.39123733,0.92,-23.33,30.32,46,102,719153.0,109.0
149.78894592,2.75326506,0.9201,-23.4,29.98,28,87,956587.0,452.0
150.43524607,2.38286885,0.9205,-22.79,29.85,17,70,716317.0,547.0
150.02383067,2.20321087,0.9232,-24.04,30.23,73,179,597276.0,32.0
150.37580657,2.72661361,0.9269,-23.32,29.95,29,128,940378.0,94.0
149.57869753,2.65457107,0.9278,-23.43,30.03,19,66,893325.0,927.0
150.04990539,2.2935472,0.9295,-24.01,30.24,55,144,655660.0,61.0
150.54854244,2.49867892,0.9296,-23.9,30.16,33,82,792094.0,309.0
150.36194965,2.38641109,0.93,-22.35,29.73,16,51,718856.0,878.0
150.15173234,2.18868711,0.93,-22.81,30.25,61,138,586264.0,43.0
150.67798549,2.74058775,0.93,-23.82,30.12,30,84,949217.0,318.0
150.07133659,2.63569351,0.9308,-23.16,30.6,42,130,882552.0,96.0
149.51919148,2.26539166,0.9323,-23.14,29.98,41,137,637488.0,85.0
150.06719829,2.72183757,0.9399,-23.01,30.22,27,83,937554.0,398.0
150.28414233,1.87525334,0.9434,-22.6,30.16,47,147,385076.0,125.0
150.27777793,2.09185171,0.9461,-22.79,29.73,39,139,521793.0,102.0
150.08558684,1.90948382,0.9474,-22.91,30.28,16,65,407143.0,773.0
150.30104905,1.73124155,0.9496,-22.89,29.86,37,87,294653.0,233.0
150.2160962,2.73889368,0.9499,-24.26,30.31,33,101,945568.0,429.0
149.620505,2.61012531,0.9503,-22.9,30.17,26,75,864268.0,783.0
150.35790659,2.06893771,0.9513,-22.95,30.02,50,139,507236.0,81.0
149.94617613,1.858094,0.9521,-22.53,29.61,26,72,373747.0,515.0
149.84966616,1.79090647,0.9527,-22.51,29.54,23,75,331398.0,886.0
150.21055867,2.13524765,0.9552,-23.3,30.43,44,130,550139.0,100.0
149.51164814,2.74422259,0.9564,-22.8,29.83,19,49,951118.0,717.0
150.07775951,1.81466235,0.9578,-23.85,30.27,20,50,344901.0,852.0
150.47215507,2.56967139,0.9583,-23.37,29.96,43,116,839253.0,218.0
149.61761683,2.11578398,0.9586,-23.66,30.45,52,136,537719.0,46.0
149.78336056,2.03262054,0.9603,-22.69,29.68,25,100,483691.0,449.0
150.3687439,1.96479977,0.9612,-23.08,29.85,33,96,441581.0,279.0
150.40580744,2.49121374,0.9626,-23.16,30.02,52,136,786467.0,56.0
149.48627107,1.83628997,0.9626,-23.14,29.95,29,84,361500.0,534.0
149.48423118,1.69170784,0.9638,-22.41,29.57,18,60,268973.0,928.0
149.81699521,1.89952284,0.964,-22.82,30.11,30,81,401462.0,368.0
149.7244189,2.50929015,0.965,-22.65,30.24,28,72,799465.0,802.0
150.13699656,1.93794859,0.9659,-22.89,29.77,36,95,424867.0,258.0
150.68002511,2.04212352,0.968,-22.93,30.09,24,67,489122.0,728.0
150.66492248,2.24218063,0.9702,-23.33,30.23,40,108,621568.0,113.0
150.37200994,1.65844358,0.9752,-23.68,30.07,28,79,249847.0,138.0
150.29564681,2.0349543,0.9761,-22.96,29.79,51,142,484128.0,63.0
150.61459792,2.08104773,0.9788,-23.26,29.91,29,97,515167.0,320.0
149.47879246,2.14907847,0.9794,-23.46,30.49,27,89,560377.0,393.0
149.71561474,1.79553199,0.9801,-22.25,29.8,28,90,334594.0,537.0
150.46863419,1.9368,0.9814,-23.06,29.84,38,110,424484.0,4.0
149.6116201,2.53547055,0.982,-23.25,29.9,20,78,816973.0,359.0
149.57934994,2.42100694,0.9821,-23.26,29.9,28,94,741453.0,367.0
149.83234006,2.43353383,0.9832,-22.33,29.83,38,90,749375.0,365.0
149.6123011,2.03022071,0.9856,-23.12,29.87,21,108,481515.0,293.0
150.65284948,1.98023689,0.9858,-23.03,30.22,24,50,450673.0,915.0
