ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.21038747,1.81648749,0.5305,-22.46,29.59,19,62,348419.0,173.0
150.46449749,2.05995909,0.5417,-23.52,30.03,20,42,497616.0,159.0
149.52361555,1.75897202,0.5609,-23.43,29.99,15,49,309192.0,292.0
150.64772399,2.72774745,0.6143,-22.63,30.09,11,41,941406.0,458.0
150.14812325,2.51784537,0.6516,-23.11,29.87,18,61,804406.0,153.0
149.63358838,1.90317999,0.6551,-22.75,29.72,14,52,403885.0,221.0
150.31729226,2.32273703,0.66,-21.96,29.83,9,45,674895.0,298.0
149.76667507,1.75572328,0.6605,-21.28,29.45,13,62,310355.0,254.0
150.00381587,2.11456673,0.6664,-22.28,29.65,11,59,536438.0,287.0
150.18997485,2.15533785,0.6686,-22.91,29.78,21,76,564353.0,182.0
149.72485989,1.87606749,0.6695,-22.07,29.77,16,50,386871.0,214.0
149.76534039,2.00047647,0.6703,-22.34,29.57,11,44,464121.0,255.0
149.89363397,2.56300425,0.6762,-21.66,29.29,11,48,833286.0,243.0
149.66774979,2.27366808,0.68,-23.31,29.94,17,40,643306.0,198.0
150.05775592,2.61029904,0.68,-23.01,29.83,23,73,866167.0,152.0
150.09239921,2.19362661,0.6801,-22.95,29.81,15,46,590057.0,217.0
150.17259634,2.52333517,0.6946,-22.78,29.73,12,48,809179.0,197.0
149.91320934,2.51219989,0.7179,-23.48,30.02,50,133,801764.0,138.0
150.05668881,2.30139264,0.7249,-23.11,29.87,21,68,661723.0,160.0
149.85012465,2.39282188,0.728,-22.44,29.58,14,51,721902.0,239.0
150.0292913,2.69014135,0.7357,-22.81,30.04,15,46,917600.0,262.0
150.59968,2.13848351,0.7387,-22.17,30.01,13,40,552091.0,376.0
150.72392111,2.42526576,0.7506,-21.63,29.71,13,40,743156.0,34.0
150.42447032,2.77366279,0.7909,-23.36,30.09,12,49,969859.0,185.0
150.45631191,2.57139658,0.8021,-20.99,29.24,17,40,838920.0,4.0
150.55976543,2.6533078,0.8051,-22.59,29.62,18,63,892536.0,164.0
