ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
149.94521688,2.48566387,0.73,-23.53,20.0,127.0,782380.0,111.0
149.8337219,2.51045088,0.7319,-21.92,10.0,64.0,798926.0,1282.0
150.11236456,2.52428634,0.7341,-21.73,8.0,53.0,807662.0,2699.0
150.01208582,2.45907753,0.7353,-22.83,12.0,51.0,765830.0,1085.0
150.0292913,2.69014135,0.7357,-22.81,10.0,56.0,917600.0,1371.0
149.92968671,2.53270729,0.7403,-23.72,9.0,50.0,814496.0,1508.0
149.94746926,2.49174044,0.7404,-21.47,14.0,105.0,786291.0,1139.0
149.92341695,2.52499294,0.7406,-23.66,10.0,59.0,807730.0,1060.0
149.87200097,2.53308521,0.7534,-22.31,9.0,59.0,814076.0,2077.0
150.39708921,2.76853572,0.7905,-22.68,18.0,64.0,965121.0,32.0
150.44457915,2.75178447,0.8,-23.87,9.0,59.0,952997.0,2490.0
150.54248979,2.18504396,0.8031,-22.25,12.0,70.0,583665.0,336.0
149.58870430000002,2.41197996,0.8049,-20.67,9.0,60.0,733452.0,2697.0
150.55976543,2.6533078,0.8051,-22.59,11.0,60.0,892536.0,223.0
150.51040451,2.652951,0.8105,-22.92,9.0,56.0,893594.0,1800.0
150.40743015,1.80319538,0.8111,-22.83,11.0,66.0,340519.0,1739.0
149.62030412,2.41010504,0.8169,-23.62,16.0,82.0,735061.0,256.0
150.34396607,2.15312325,0.8169,-21.85,9.0,51.0,561710.0,1759.0
150.38818885,2.12875995,0.8171,-21.89,9.0,60.0,545177.0,330.0
150.55867024,2.65458886,0.8176,-23.38,12.0,58.0,894148.0,1169.0
150.50759215,2.22727601,0.8191,-22.77,11.0,67.0,613347.0,2.0
150.36932356,1.99948478,0.8224,-23.43,15.0,82.0,463397.0,1064.0
150.53256486,2.17984772,0.8231,-22.94,16.0,72.0,581056.0,1153.0
150.54464505,2.19009074,0.8246,-22.48,13.0,116.0,587046.0,20.0
150.50503624,2.22506954,0.825,-23.98,17.0,62.0,611604.0,5.0
149.55284532,2.42821548,0.8251,-22.5,18.0,61.0,745476.0,1102.0
