ra,dec,redshift,brightness,gal_id,cluster_id
150.08420343507117,2.3861974318402206,0.22,-20.483,717137.0,0.0
150.10974542920906,2.451037213859382,0.2282,-15.567,758870.0,0.0
150.16482456999537,2.3618481373922475,0.2187,-15.681,700493.0,0.0
150.16951161311908,2.4672568802364148,0.2202,-17.141,769714.0,0.0
150.19278982471656,2.378920581906128,0.2195,-14.481,711421.0,0.0
149.98718522636506,2.463027047085998,0.2286,-14.397,766164.0,0.0
150.0590290544083,2.517334211230298,0.2276,-16.052,801975.0,0.0
149.9846304871764,2.5087129998757582,0.2292,-14.717,795473.0,0.0
150.26646553437496,2.45309237628007,0.2193,-16.64,760193.0,0.0
150.13326557531968,2.3645160199310173,0.2171,-14.582,701980.0,0.0
150.18602896615644,2.552943412914477,0.2204,-14.365,825191.0,0.0
150.141864805211,2.5417501514847225,0.2261,-15.025,818005.0,0.0
150.14567075887126,2.4596812494710334,0.2311,-16.064,764226.0,0.0
150.15614358811217,2.6416799033047345,0.2213,-15.48,883785.0,0.0
150.17360448436952,2.540475148891589,0.2168,-15.710999999999999,817552.0,0.0
150.196594871193,2.5824667188236807,0.2244,-15.423,845317.0,0.0
150.22334800413265,2.543294868489752,0.2203,-14.01,818861.0,0.0
150.2380340396725,2.449542803428012,0.2303,-16.57,757697.0,0.0
150.0090733116338,2.459242609702496,0.2149,-17.358,764768.0,0.0
150.01332461876052,2.4307721024077984,0.2192,-15.148,745186.0,0.0
150.09012110476908,2.3830413915823763,0.22,-18.824,715368.0,0.0
150.1568527922647,2.624291816848876,0.2281,-14.343,871497.0,0.0
150.19904654170804,2.5465163982898846,0.2315,-14.383,821031.0,0.0
150.21535888316942,2.5700772779511065,0.23,-18.246,838081.0,0.0
150.2704629624163,2.5381502979558177,0.2233,-14.499,815477.0,0.0
150.0404582276627,2.5047412510097176,0.215,-13.661,792888.0,0.0
150.07845619115125,2.5568747277118358,0.2151,-15.417,828421.0,0.0
150.16721046512578,2.458032200011557,0.2222,-14.777000000000001,763029.0,0.0
150.18951636290302,2.5075281180461757,0.22,-21.123,798621.0,0.0
150.26935247535278,2.557339067085875,0.2198,-14.913,828284.0,0.0
150.27596203311873,2.5360301242071768,0.2268,-14.225999999999999,814000.0,0.0
150.1601013925549,2.54920857782031,0.2212,-16.011,823180.0,0.0
150.22305115542443,2.470931580469258,0.2254,-13.472000000000001,771335.0,0.0
150.2331113772109,2.4339908567487085,0.2217,-15.743,747487.0,0.0
150.01618625405789,2.5017683917124565,0.2166,-20.688000000000002,793056.0,0.0
150.06343785307388,2.5363732114042725,0.2229,-20.522,815856.0,0.0
150.17193144576362,2.3760757855004715,0.2247,-13.88,709562.0,0.0
149.99365783463702,2.5011933635517014,0.2179,-14.052,790617.0,0.0
150.04486123881398,2.439567778878042,0.2203,-19.785,754132.0,0.0
150.16558502649875,2.4681730293973527,0.2179,-14.093,769536.0,0.0
150.0862504249963,2.406560356033868,0.22,-20.387999999999998,732487.0,0.0
150.15441688350063,2.4161016790235794,0.2217,-18.699,737252.0,0.0
150.17072148378492,2.3695241454079667,0.2209,-14.493,705211.0,0.0
150.21120424366214,2.546883031584795,0.2164,-16.816,824188.0,0.0
150.2240510157049,2.5481371244280635,0.23,-21.024,823644.0,0.0
150.24523195706016,2.4314805870858134,0.2307,-14.841,745696.0,0.0
150.27597839833078,2.447751272022881,0.22,-19.855999999999998,759327.0,0.0
149.99822357253726,2.50210734410177,0.2226,-14.81,791271.0,0.0
150.1100339808217,2.4197590070051382,0.2252,-21.82,737753.0,0.0
150.17027157860116,2.4317646607725503,0.2162,-19.51,748333.0,0.0
150.1904806306868,2.5556748485620457,0.2218,-18.434,828366.0,0.0
150.19857685290438,2.6052890140224103,0.2299,-17.410999999999998,860462.0,0.0
