,cluster_id,ra,dec,redshift,group,Ngal,type
26078,954871,149.905523,2.751,0.62,1728,2,central
26082,955066,149.571353,2.75286,1.1901,7210,2,central
26084,955095,150.53258,2.752616,0.954,4955,2,central
26091,955298,150.724036,2.753603,1.039,5759,2,central
26095,955387,149.829814,2.752381,0.8372,3422,3,central
26096,955398,150.351411,2.75229,0.4601,915,6,central
26111,955752,150.461993,2.754078,1.0394,5734,2,central
26127,956099,149.457198,2.75189,0.5692,1450,2,central
26128,956170,149.993727,2.753469,0.7325,2638,2,central
26157,956683,149.60653,2.753144,1.1709,6794,3,central
26165,956908,149.731333,2.75562,0.7848,2923,2,central
26172,957097,150.383706,2.75596,0.9265,4510,2,central
26175,957198,149.461689,2.753147,0.7105,2461,3,central
26189,957760,149.415663,2.754029,0.41,697,3,central
26190,957772,150.689201,2.754434,0.9863,5296,2,central
26192,957829,149.670277,2.758254,0.8712,3837,4,central
26193,957834,149.90795,2.757012,0.9843,5357,2,central
26221,958544,150.248704,2.757722,0.8169,3155,2,central
26225,958632,149.419119,2.758416,1.1049,6286,2,central
26238,958801,150.372075,2.756217,0.7079,2313,6,central
26241,958835,149.863397,2.759053,1.1273,6434,3,central
26254,959044,150.510663,2.7591,0.8261,3347,2,central
26258,959194,149.845479,2.759483,1.1527,6619,3,central
26274,959605,150.062214,2.760031,0.658,2097,2,central
26279,959635,149.525749,2.759922,0.985,5358,2,central
26285,959824,149.712801,2.759123,1.06,5918,3,central
26297,960145,150.399452,2.760332,1.0733,5986,3,central
26305,960446,149.810751,2.760956,1.1315,6548,2,central
26307,960475,150.044274,2.761765,1.1675,6874,2,central
26322,960768,150.192311,2.759025,0.6993,2411,2,central
26336,961229,150.294639,2.761762,0.7647,2833,4,central
26349,961499,150.148504,2.76175,1.0959,6052,2,central
26360,961655,150.458061,2.761112,0.7193,2496,2,central
26371,962046,149.730265,2.762001,0.772,2834,2,central
26390,962495,150.289904,2.764554,0.9655,5098,2,central
26394,962529,149.842543,2.763521,1.1864,7166,2,central
26395,962538,150.538378,2.76411,0.6141,1751,2,central
26396,962540,150.350263,2.762608,0.791,2924,5,central
26398,962552,150.39712,2.763036,0.9747,5101,2,central
26405,962719,150.599575,2.764803,0.9672,5100,2,central
26413,962964,150.706818,2.762504,0.6702,1993,6,central
26421,963094,150.432209,2.765675,0.6508,1933,3,central
26422,963109,150.505426,2.766371,1.1181,6289,4,central
26423,963140,150.302706,2.766357,0.8959,4156,2,central
26438,963461,149.664195,2.76729,1.0368,5760,2,central
26450,963772,149.67611,2.766164,0.9024,4228,2,central
26451,963785,149.893349,2.765728,0.6692,2175,3,central
26455,963859,149.82393,2.766586,0.907,4269,2,central
26462,963967,149.715553,2.766776,0.8709,3839,2,central
26465,963996,149.84787,2.766848,1.1125,6287,2,central
26479,964231,150.203585,2.764446,1.1169,6389,2,central
26488,964328,150.452696,2.767462,0.6496,1870,2,central
26491,964451,149.872229,2.766479,1.1954,7168,4,central
26494,964470,150.338992,2.767219,0.4785,1046,2,central
26497,964515,149.701724,2.766428,0.6906,2235,4,central
26500,964583,149.60082,2.7685,0.862,3838,2,central
26522,965148,150.697107,2.767936,1.0535,5885,5,central
26525,965193,150.032416,2.768544,1.042,5736,3,central
26529,965229,149.999,2.766467,0.573,1464,2,central
26535,965341,150.630179,2.769521,0.2503,162,2,central
26536,965347,150.535953,2.768662,0.8695,3841,2,central
26537,965349,149.568796,2.767773,0.8895,4103,5,central
26538,965392,150.385228,2.766293,0.7599,2734,6,central
26540,965411,149.569425,2.768625,0.9396,4627,2,central
26548,965586,150.685363,2.768184,0.7463,2735,2,central
26551,965719,150.293417,2.768576,0.5392,1311,2,central
26559,965883,150.595068,2.769389,0.636,1845,2,central
26561,965978,149.574883,2.769329,1.0959,6145,4,central
26565,966063,150.621268,2.769835,0.8664,3840,2,central
26566,966115,150.725542,2.769817,1.1943,7089,9,central
26569,966197,150.098881,2.769748,0.9225,4451,2,central
31242,247106,150.186761,1.660215,0.3499,362,62,central
31245,249076,150.325389,1.660672,1.1842,6848,3,central
31246,249344,149.495449,1.660127,0.8415,3502,2,central
31249,249999,149.533465,1.660399,0.671,1938,3,central
31257,250815,149.987241,1.663828,1.0345,5738,3,central
31259,251086,150.039573,1.663881,1.0515,5816,2,central
31261,251179,150.231933,1.663019,0.88,3711,19,central
31267,251983,149.965939,1.664257,0.5225,1207,2,central
31270,252339,150.150898,1.664473,0.6827,2179,2,central
31282,253418,149.964148,1.680357,0.3803,412,47,central
31283,253451,150.010112,1.665292,0.5397,1313,5,central
31289,253741,149.762,1.665052,0.6691,1999,5,central
31292,254399,150.235646,1.668341,0.8469,3575,3,central
31294,254715,149.943933,1.668821,0.23,112,5,central
31301,254919,149.975535,1.668227,1.0052,5560,2,central
31307,255385,150.030501,1.670519,0.9005,4162,2,central
31308,255510,149.664028,1.667649,0.4304,787,2,central
31323,257240,150.213438,1.674213,0.1828,41,5,central
31327,257682,149.619706,1.680148,0.5725,1423,2,central
31335,258036,149.639207,1.673542,0.6603,1998,3,central
31344,258675,149.667133,1.676573,0.925,4382,2,central
31346,258757,150.278035,1.673618,0.9519,4516,6,central
31349,258978,150.139108,1.673745,0.7494,2740,2,central
31359,259443,150.057171,1.674903,1.1132,6148,5,central
31363,259641,150.377241,1.676457,0.9111,4273,4,central
31364,259709,150.115899,1.676761,1.1431,6681,2,central
31365,259792,149.95272,1.677378,0.8019,2992,3,central
31383,260981,150.161453,1.680497,1.104,6191,3,central
31386,261096,150.342552,1.698558,0.3019,249,5,central
31396,261497,149.759921,1.701497,0.8883,4003,2,central
31400,261782,150.129669,1.678907,0.8398,3428,8,central
31401,261791,149.445638,1.678952,0.6057,1658,2,central
31404,261996,149.945956,1.680471,1.0065,5561,10,central
31405,262006,149.832477,1.680731,0.7929,2991,2,central
31406,262008,149.838857,1.683062,0.7388,2602,14,central
31409,262234,149.853302,1.682019,0.7078,2369,5,central
31413,262481,149.68232,1.681459,0.8985,4107,3,central
31414,262554,150.193676,1.681668,0.8512,3634,3,central
31418,262701,149.77503,1.679728,0.9693,5104,2,central
31423,263281,150.207027,1.683579,0.8365,3429,2,central
31426,263445,150.379582,1.683288,1.042,5739,2,central
31427,263491,149.574102,1.681152,0.5717,1421,5,central
31433,263988,150.048384,1.681969,0.89,4044,2,central
31435,264131,149.592174,1.682965,0.93,4518,2,central
31441,264646,149.571427,1.685083,1.1318,6441,3,central
31448,265719,149.528286,1.684829,0.4374,831,2,central
31452,266092,149.978784,1.687031,0.9469,4756,5,central
31453,266130,149.412293,1.687341,0.8502,3635,2,central
31454,266165,149.975317,1.686505,0.4403,830,2,central
31455,266227,150.197912,1.687004,0.682,2201,2,central
31458,266440,149.708895,1.687891,0.32,283,5,central
31459,266736,150.373777,1.68704,0.9883,5229,3,central
31463,266902,150.042579,1.686544,0.8598,3782,2,central
31469,267175,149.502889,1.688144,0.6061,1659,2,central
31472,267386,149.537482,1.69198,0.3001,250,4,central
31473,267436,150.100162,1.689041,1.0636,5817,3,central
31482,268201,150.378976,1.68886,0.3289,316,3,central
31507,270022,150.077087,1.69358,0.8874,4001,5,central
31512,270311,150.361327,1.695074,0.8451,3504,2,central
31520,271071,149.721203,1.692365,0.5297,1210,3,central
31521,271254,149.917196,1.693786,0.6887,2200,2,central
31522,271298,149.704674,1.693994,0.6198,1730,2,central
31531,271995,149.804274,1.696134,0.5959,1563,2,central
31535,272382,149.971236,1.697564,1.1886,7096,2,central
31538,272432,150.12773,1.696054,1.1039,6150,5,central
31541,272625,150.176399,1.696731,0.5799,1452,3,central
31547,272891,150.34527,1.69939,0.29,237,3,central
31548,272919,150.149646,1.695591,0.3572,475,2,central
31549,272977,149.914596,1.707794,1.0199,5685,2,central
31553,273360,149.487918,1.698727,0.8969,4109,2,central
31557,273614,149.652213,1.698294,0.6633,2004,2,central
31559,274113,150.051886,1.699391,0.7025,2372,2,central
31573,275526,150.459748,1.702817,0.8261,3284,2,central
31577,275778,149.494894,1.700462,0.5736,1422,5,central
31584,276186,149.800303,1.702888,1.1096,6234,2,central
31586,276373,149.553791,1.703361,0.919,4383,2,central
31593,276895,150.253967,1.705424,0.8307,3222,2,central
31597,277519,149.570234,1.71166,0.33,345,2,central
31598,277681,149.811137,1.706059,0.9481,4631,2,central
31599,277724,149.639516,1.704642,0.5197,1211,3,central
31616,279164,150.106337,1.707779,0.7656,2824,2,central
31627,279608,150.372228,1.714973,0.4199,746,2,central
31632,279888,150.239041,1.707827,1.0296,5715,3,central
31633,279933,149.586237,1.708094,0.79,2931,2,central
31635,280149,149.78187,1.709856,0.6949,2318,2,central
31640,280356,149.807738,1.71564,0.1914,53,2,central
31641,280472,149.845298,1.709797,0.7558,2778,2,central
31642,280522,149.504007,1.70977,0.6418,1832,2,central
31643,280529,150.192836,1.710194,1.003,5562,2,central
31655,281571,150.161489,1.712246,0.6132,1660,4,central
31658,281764,150.013345,1.713547,0.8375,3353,2,central
31662,281868,149.495275,1.709894,0.2788,222,5,central
31674,282897,150.303109,1.712562,0.644,1873,2,central
31675,282927,150.129062,1.71316,0.609,1701,2,central
31676,283066,149.535751,1.713128,0.6694,2005,4,central
31685,283739,150.305836,1.716395,0.8382,3223,4,central
31696,284648,149.531016,1.718551,0.6059,1661,2,central
31701,285243,149.770864,1.716002,0.5801,1453,2,central
31706,285972,150.07226,1.71713,0.8136,3160,2,central
31710,286243,149.818603,1.71927,0.4947,1061,4,central
31717,286778,150.042338,1.72015,1.0216,5505,7,central
31719,286857,150.268281,1.718998,0.593,1565,2,central
31729,287590,150.099463,1.72166,0.9356,4632,4,central
31738,288449,150.260716,1.722267,0.9691,5106,2,central
31745,289067,149.482957,1.72384,0.6506,1893,2,central
31747,289608,149.471029,1.741391,0.2001,64,4,central
31749,289784,150.005312,1.725066,0.91,4274,2,central
31753,290306,149.561852,1.725414,0.598,1567,2,central
31755,290511,149.794292,1.729322,0.3558,476,2,central
31756,290567,149.773494,1.725525,0.3908,633,2,central
31763,291403,150.21221,1.72721,1.0009,5439,2,central
31776,292852,149.619381,1.735434,0.59,1495,15,central
31784,293472,149.874913,1.728758,0.6071,1609,2,central
31797,294430,150.302398,1.730813,0.9833,5026,3,central
31798,294453,150.029576,1.737463,0.28,223,4,central
31800,294598,149.502862,1.730337,0.9239,4456,2,central
31801,294609,149.707686,1.73328,0.755,2779,2,central
31807,295165,150.043873,1.731826,0.3738,576,2,central
31808,295284,150.445835,1.732255,0.93,4520,5,central
31818,295843,149.684363,1.735194,0.7088,2418,2,central
