,cluster_id,ra,dec,redshift,zs,mag,Ngal,R,Ltot
903,J100115.9+021646,150.32394,2.28235,0.9875,-1.0,21.9,18,14.12,85.06
904,J100113.4+021359,150.31268,2.24253,0.9071,0.8957,22.03,24,13.33,52.02
905,J100131.1+021130,150.37479,2.1973,1.1112,-1.0,23.52,32,24.18,84.24
906,J100051.7+021656,150.21449,2.28009,0.8709,0.8775,22.15,35,26.8,103.8
907,J100027.1+021544,150.12805,2.25154,0.7562,0.7882,22.17,23,17.31,57.11
908,J100021.6+021137,150.09402,2.19902,0.9362,0.9254,22.17,34,14.65,33.74
909,J100021.5+021123,150.09238,2.19365,0.6899,-1.0,21.1,20,10.34,45.22
910,J100036.5+021150,150.14816,2.19753,0.9332,-1.0,22.17,29,13.4,69.38
911,J100048.2+020945,150.19827,2.16631,0.6738,0.669,20.96,17,8.06,34.9
912,J100051.2+020833,150.19769,2.13978,0.9262,-1.0,22.19,21,10.47,46.15
913,J095935.5+021408,149.88991,2.23743,1.1896,-1.0,23.0,30,21.03,107.77
914,J100007.9+021207,150.02382,2.20323,0.9392,0.9416,21.44,38,23.44,125.8
915,J100002.5+020907,150.00121,2.15396,0.9483,0.9633,22.09,34,15.33,51.47
916,J095920.2+021652,149.8457,2.25996,0.3831,0.3811,19.8,16,14.32,44.6
917,J095856.1+021418,149.73163,2.25383,1.0247,-1.0,21.92,33,24.75,146.39
918,J095911.6+020903,149.81882,2.16232,0.357,-1.0,17.96,23,18.67,56.4
919,J095838.1+021345,149.66641,2.22228,0.9322,0.8934,21.85,42,27.4,128.41
920,J095847.0+021204,149.6967,2.21418,1.0247,-1.0,22.74,19,8.74,46.76
921,J095816.9+020856,149.56911,2.15075,0.9775,0.9723,22.48,29,19.5,79.37
922,J095833.5+020739,149.64536,2.11863,1.2128,-1.0,23.71,25,13.97,34.86
923,J100257.7+022420,150.74075,2.40388,0.7452,-1.0,20.62,23,18.52,99.88
924,J100305.1+022234,150.77019,2.41923,0.177,0.178,18.43,13,12.12,34.66
