ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.11418596,1.91325779,0.7271,-22.78,29.73,21,62.0,410259.0,688.0
150.42302989,1.80733574,0.7275,-23.13,29.98,13,42.0,341759.0,960.0
149.85012465,2.39282188,0.728,-22.44,29.58,34,89.0,721902.0,192.0
149.96053062,1.78236063,0.7289,-22.87,29.76,15,45.0,327303.0,954.0
149.48552197,2.45478574,0.73,-23.01,29.83,21,67.0,764000.0,428.0
149.60655363,2.4426076,0.7308,-22.88,30.06,16,58.0,755416.0,864.0
149.84688416,2.31016843,0.7311,-22.75,29.83,12,56.0,666893.0,808.0
149.83728876,1.98590412,0.7314,-22.13,29.48,17,48.0,455156.0,935.0
150.02222183,1.89450509,0.7345,-21.81,29.66,17,44.0,396963.0,967.0
150.66778692,2.02362883,0.7348,-23.05,29.84,17,53.0,478550.0,794.0
150.20613025,1.82203798,0.7351,-22.14,29.79,14,59.0,350404.0,931.0
149.83885667,1.6830623,0.7388,-24.2,30.3,38,81.0,262008.0,550.0
150.29638089,2.38320879,0.7402,-23.12,30.06,40,116.0,717223.0,103.0
149.92968671,2.53270729,0.7403,-23.72,30.13,95,268.0,814496.0,29.0
149.71889554,2.67460381,0.7481,-22.59,29.66,14,45.0,907506.0,963.0
149.68041726,2.03888829,0.7481,-22.21,29.8,13,42.0,488140.0,956.0
150.29936764,1.78827639,0.7494,-21.19,29.83,8,52.0,329414.0,968.0
149.97466817,2.55548437,0.7498,-23.57,30.04,52,156.0,826407.0,60.0
149.46158064,1.79841947,0.75,-22.11,29.78,18,45.0,336809.0,891.0
149.69070891,1.71459691,0.7594,-22.53,29.63,20,57.0,284635.0,923.0
149.91044353,1.88507344,0.7618,-22.63,29.87,27,66.0,391497.0,855.0
149.63178978,1.67718951,0.7731,-22.82,29.94,16,53.0,257389.0,911.0
150.7328082,2.63238242,0.7845,-22.94,29.4,15,61.0,874442.0,659.0
150.12370661,1.99677165,0.7873,-23.03,29.93,32,66.0,460730.0,672.0
149.65590262,1.90035104,0.79,-22.54,29.63,21,75.0,401170.0,895.0
150.59232379,2.10942224,0.7903,-22.7,29.82,21,61.0,533504.0,652.0
150.42447032,2.77366279,0.7909,-23.36,30.09,41,123.0,969859.0,52.0
149.70670515,1.96093128,0.7938,-22.19,30.03,17,51.0,439220.0,948.0
149.59847018,1.7545214,0.7943,-22.77,30.33,18,47.0,308471.0,918.0
150.68959247,2.75328692,0.8,-22.94,29.94,28,70.0,956350.0,527.0
150.16631612,1.66681466,0.8012,-23.16,29.88,22,75.0,254764.0,271.0
150.63327035,2.44845958,0.8043,-23.15,30.31,18,92.0,759378.0,558.0
149.97118419,2.04976462,0.8084,-22.7,30.1,27,78.0,494211.0,530.0
149.79616206,1.77448513,0.8165,-22.74,30.25,18,62.0,321403.0,889.0
150.54646726,2.59661722,0.8196,-23.23,29.88,28,90.0,857343.0,334.0
150.55755454,1.93280551,0.8201,-22.28,29.51,23,75.0,422230.0,791.0
150.75090336,2.21415796,0.8215,-23.27,29.9,16,54.0,604819.0,743.0
150.36932356,1.99948478,0.8224,-23.43,29.96,55,122.0,463397.0,53.0
150.49915544,1.690419,0.826,-22.15,29.46,12,44.0,268639.0,950.0
149.71841813,1.82541114,0.8267,-23.0,29.9,16,45.0,354528.0,969.0
150.68423832,2.40765001,0.8277,-22.87,29.77,37,116.0,732178.0,150.0
150.13676125,1.88049967,0.8278,-22.65,29.67,32,92.0,389394.0,390.0
149.57425483,2.20155099,0.8299,-23.11,29.84,19,70.0,595730.0,839.0
150.21844026,2.05774908,0.83,-23.79,30.12,44,115.0,498357.0,106.0
150.74303422,2.68049621,0.8301,-23.42,29.96,32,78.0,911466.0,215.0
150.66156888,1.92556291,0.8309,-23.1,29.85,42,91.0,417713.0,145.0
149.64162337,1.98022999,0.8325,-22.83,30.25,13,61.0,451970.0,757.0
150.65005438,2.54356171,0.8352,-23.19,29.88,23,56.0,822352.0,690.0
150.12966905,1.67890731,0.8398,-23.32,29.93,28,75.0,261782.0,392.0
149.55172939,2.43718281,0.84,-23.73,30.09,39,98.0,752457.0,62.0
150.07280939,1.73612652,0.84,-23.42,29.97,20,49.0,298010.0,26.0
150.51499072,1.97994588,0.8411,-23.04,30.24,43,109.0,451213.0,223.0
150.26576417,1.96309383,0.8427,-23.75,30.11,42,113.0,440587.0,116.0
149.94563086,2.22793627,0.8429,-22.48,29.71,25,80.0,612375.0,811.0
149.95309982,1.67820825,0.8533,-22.59,29.63,17,48.0,261524.0,896.0
150.6741277,2.06318479,0.8599,-23.23,29.9,25,89.0,503592.0,671.0
150.43662228,1.96620848,0.86,-22.96,30.17,44,115.0,443074.0,77.0
150.2148294,2.28668901,0.8623,-22.99,29.9,60,161.0,651583.0,50.0
150.16000165,2.59545542,0.8646,-23.59,30.03,62,142.0,856782.0,41.0
150.64850648,2.58770214,0.868,-22.93,29.78,28,75.0,850234.0,857.0
149.47749701,2.72141038,0.8698,-23.77,30.11,40,92.0,936797.0,202.0
149.98327578,2.31715893,0.87,-23.49,30.12,80,199.0,672322.0,31.0
150.03061464,1.66394321,0.8702,-22.7,29.8,26,64.0,253009.0,693.0
149.54958473,1.99398867,0.8703,-23.63,30.05,48,101.0,459784.0,70.0
150.08616821,2.53138475,0.8703,-23.97,30.18,70,150.0,813654.0,30.0
150.02243609,2.2045718,0.8706,-23.47,30.11,37,96.0,598160.0,296.0
149.82371113,2.40998994,0.871,-23.23,29.9,18,62.0,734342.0,709.0
150.42768087,2.13139082,0.8721,-23.36,29.94,50,158.0,547997.0,36.0
150.54677841,2.19429424,0.8744,-23.75,30.1,79,172.0,589836.0,35.0
150.21750397,2.40031657,0.8748,-23.4,29.96,56,105.0,728559.0,72.0
150.07953604,2.43001226,0.8772,-23.42,29.96,33,83.0,740865.0,281.0
149.48772767,1.70423712,0.8799,-23.36,30.08,9,43.0,277760.0,962.0
150.2319335,1.6630191,0.88,-23.61,30.16,27,64.0,251179.0,420.0
149.90555925,2.71828501,0.88,-23.45,29.97,52,127.0,934979.0,49.0
