ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
150.55976543,2.6533078,0.8051,-22.59,11,60,29.62,892536.0,158991.47974392123,208
150.66158765,2.38020938,0.8109,-23.43,9,50,30.12,715724.0,159681.53423289477,1473
150.40743015,1.80319538,0.8111,-22.83,11,65,29.83,340519.0,159705.2478730735,1498
150.40437736,2.08566935,0.8165,-21.47,9,74,29.41,517119.0,160343.47651077135,1670
149.62030412,2.41010504,0.8169,-23.62,11,55,30.37,735061.0,160390.596634691,221
150.55867024,2.65458886,0.8176,-23.38,12,68,29.93,894148.0,160473.00519886316,973
150.50759215,2.22727601,0.8191,-22.77,17,57,29.7,613347.0,160649.37386176176,931
150.55571519999998,2.21142652,0.8212,-23.67,9,82,30.07,602486.0,160895.78438010893,1044
150.36932356,1.99948478,0.8224,-23.43,14,68,29.96,463397.0,161036.32610211938,896
150.54464505,2.19009074,0.8246,-22.48,14,71,30.23,587046.0,161293.48791219672,933
150.53173361,2.15201701,0.8257,-22.99,12,70,29.9,562397.0,161421.82760883434,52
150.21844026,2.05774908,0.83,-23.79,10,61,30.12,498357.0,161921.98132773806,1125
149.97587764,2.35201979,0.8304,-21.79,8,58,29.46,695130.0,161968.38306094942,2231
150.09225507,2.20442841,0.831,-22.8,10,53,30.14,597349.0,162037.94611607693,1829
150.50201699,2.22931886,0.8321,-22.52,21,59,29.61,613866.0,162165.35524925045,1153
149.56444269,2.41024803,0.8325,-22.47,11,51,29.59,733995.0,162211.64637096238,1915
150.54253963,2.18330703,0.8327,-21.88,15,84,29.36,582952.0,162234.78404324857,20
150.38357242,2.12814297,0.8362,-22.22,11,51,29.49,544902.0,162638.8435238413,1819
150.32365762,2.04399831,0.8369,-21.96,12,62,29.78,490179.0,162719.46286660925,1576
149.61085044,2.32226947,0.8370000000000001,-22.68,9,55,29.8,674963.0,162730.97468587235,1087
149.50306143,2.33521521,0.8370000000000001,-23.32,9,50,30.04,685216.0,162730.97468587235,1701
150.52519228,2.15075233,0.8396,-22.1,12,59,29.45,560153.0,163029.8237616797,603
149.55172939,2.43718281,0.84,-23.73,10,53,30.09,752457.0,163075.72231959135,942
150.54509207,2.14198417,0.84,-23.49,8,50,30.0,556026.0,163075.72231959135,143
150.55057340000002,2.21423473,0.84,-23.19,9,71,29.88,604077.0,163075.72231959135,924
149.66715531,2.37191406,0.84,-23.9,16,54,30.16,709386.0,163075.72231959135,1047
150.39207719,2.08589866,0.8434,-21.71,8,58,29.71,517350.0,163465.02021423663,610
149.88964932,2.29686455,0.8452,-21.54,11,50,29.82,656910.0,163670.51215294257,1903
150.21452437,2.28010007,0.8482,-22.82,11,61,29.84,647098.0,164012.06829576765,61
149.72400626,2.6980751,0.8484,-22.41,14,52,29.98,922171.0,164034.79744355383,975
150.50995753,2.13871436,0.8488,-22.0,10,58,29.82,551775.0,164080.24029032505,282
150.12886469999998,2.19322533,0.8499,-23.06,12,50,29.92,589111.0,164205.1019873711,1052
150.20485523,2.23672188,0.8526,-22.14,10,60,29.45,618262.0,164510.9219637879,2164
150.16879738,2.3154702,0.8534,-22.78,10,57,29.71,669409.0,164601.35587988957,2065
150.34318936,1.88859884,0.8559,-21.61,9,55,29.44,393550.0,164883.43463384657,1339
150.44935397,2.13758527,0.8591,-22.52,10,62,29.9,551717.0,165243.3330817483,990
150.43662228,1.96620848,0.86,-22.96,18,55,30.17,443074.0,165344.32005040807,1036
150.45340362,2.14294435,0.8613,-22.76,20,61,29.71,555663.0,165490.0088151845,991
149.77985064,2.73180495,0.8618,-21.99,8,61,29.7,943099.0,165545.98597006052,2233
150.2148294,2.28668901,0.8623,-22.99,18,78,29.9,651583.0,165601.93149821382,909
150.08122285,2.53637563,0.8662,-21.1,10,58,29.06,815982.0,166037.2235124751,54
150.35656042,2.11754443,0.8673,-22.66,8,57,29.67,538015.0,166159.6518684071,724
149.91141376,2.68277414,0.8692,-22.48,10,77,29.73,911827.0,166370.76120288842,1197
150.21508299,2.28251444,0.8699,-22.65,12,77,29.78,648904.0,166448.42425782664,970
149.65259746,2.24956512,0.8703,-23.32,8,52,29.93,627633.0,166492.77560559896,1538
149.91612202,2.6882408,0.8718,-22.26,11,80,29.92,914574.0,166658.91497354474,995
150.42768087,2.13139082,0.8721,-23.36,8,55,29.94,547997.0,166692.10911802744,493
150.53737009999998,2.66977258,0.8736,-23.03,15,57,29.81,902760.0,166857.91143828648,1015
150.54677841,2.19429424,0.8744,-23.75,10,51,30.1,589836.0,166946.22470997734,1226
150.0385924,2.55942002,0.8758,-22.67,11,58,29.68,831405.0,167100.58136115546,1371
149.85722203,2.7490172000000004,0.8768,-22.88,9,51,29.76,954305.0,167210.68704224835,1911
149.89092942,2.669207,0.8794,-23.61,10,50,30.06,903460.0,167496.38171173277,518
150.45032121,2.14266703,0.8799,-22.98,12,53,29.9,555599.0,167551.22710276884,948
149.90555925,2.71828501,0.88,-23.45,12,63,29.97,934979.0,167562.19247424134,1004
149.90735415,2.70844904,0.8804,-22.95,14,70,29.79,928939.0,167606.04160975598,941
150.06263049,2.56961754,0.8817,-23.06,14,82,29.83,839016.0,167748.41493598922,543
149.91900722,2.64299344,0.8818,-22.2,14,56,29.49,885990.0,167759.35809866266,1174
149.85380787,2.74382096,0.8861,-22.54,8,65,29.91,950656.0,168228.7504931487,2071
150.07750695,2.39457781,0.8865,-22.75,11,58,30.01,724736.0,168272.29952255738,371
