ra,dec,redshift,brightness,richness,total_N,LR,gal_id,doppler_velocity,cluster_id
149.92002788,2.5092256,0.7193,-22.3,31,96.0,29.54,798133.0,148228.7435805118,2.0
149.84723591,2.50159076,0.7196,-22.97,10,78.0,29.81,793873.0,148268.25906763866,1302.0
149.95121927,2.48306029,0.7197,-22.79,16,57.0,29.84,782430.0,148281.4278496558,29.0
149.92580409,2.53160437,0.7201,-22.89,26,103.0,29.78,814491.0,148334.0877478654,1052.0
149.83693361,2.52615215,0.7209,-22.68,9,59.0,29.8,810728.0,148439.33448202343,2380.0
149.89666694,2.47542682,0.7216,-22.3,8,72.0,29.86,776270.0,148531.34552816613,1109.0
150.00711756,2.45344305,0.7222,-22.79,17,53.0,29.87,762833.0,148610.15287861647,1437.0
149.93682926,2.525519,0.7223,-22.51,16,89.0,29.62,809515.0,148623.28212199052,9.0
150.09802906,2.28138021,0.7227,-22.75,9,72.0,29.81,648874.0,148675.7839168952,1958.0
149.9347108,2.49840882,0.723,-21.56,9,78.0,29.35,790381.0,148715.14433106466,16.0
149.83702639999998,2.42601974,0.7233,-21.48,8,63.0,29.42,744375.0,148754.49109513027,2668.0
149.92754354,2.49626058,0.7241,-21.8,8,56.0,29.43,788683.0,148859.34910585175,1130.0
150.05668881,2.30139264,0.7249,-23.11,12,60.0,29.87,661723.0,148964.11018759015,102.0
149.96375509,2.4709306,0.7252,-21.05,11,71.0,29.05,772477.0,149003.3706242673,355.0
150.09081072,2.46147077,0.7268,-23.21,12,51.0,29.9,762696.0,149212.52987112652,1696.0
150.12660826,2.70807654,0.7286,-22.63,10,50.0,29.81,929232.0,149447.3722430217,2163.0
150.069958,2.29581965,0.7298,-21.7,10,56.0,29.8,657502.0,149603.66272869945,1193.0
149.94521688,2.48566387,0.73,-23.53,16,134.0,30.03,782380.0,149629.69008695433,114.0
149.8874743,2.51312446,0.73,-22.78,9,57.0,29.74,800937.0,149629.69008695433,100.0
149.86305355,2.49742438,0.7306,-23.06,10,112.0,29.85,791677.0,149707.73609691468,712.0
149.82512446,2.49456113,0.7316,-22.19,8,63.0,30.0,789005.0,149837.69265780103,2147.0
149.83828069999998,2.40805541,0.7319,-22.14,9,53.0,29.47,732835.0,149876.6503703131,2538.0
150.11236456,2.52428634,0.7341,-21.73,8,53.0,29.54,807662.0,150161.92830565455,2785.0
150.01208582,2.45907753,0.7353,-22.83,11,51.0,29.76,765830.0,150317.2293447003,1071.0
150.0292913,2.69014135,0.7357,-22.81,10,56.0,30.04,917600.0,150368.94857644133,1440.0
149.98012207,2.55618442,0.7365,-23.45,12,68.0,30.0,830779.0,150472.31544249575,2091.0
149.83547736,2.50987132,0.74,-22.76,9,69.0,29.73,799147.0,150923.4253254544,1397.0
