ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.22082616,2.18980785,0.9178,-21.57,9.0,69.0,586522.0,6310.0
150.41224364,2.73737227,0.9184,-23.06,10.0,59.0,946877.0,5275.0
150.20746841,2.28188455,0.9194,-22.81,8.0,57.0,647381.0,4184.0
150.26111222,2.03134082,0.9195,-22.77,9.0,68.0,482409.0,6796.0
150.26444444,1.90015336,0.9195,-22.26,8.0,52.0,400693.0,5269.0
150.02383067,2.20321087,0.9232,-24.04,12.0,53.0,597276.0,78.0
150.38045351,2.09403994,0.9285,-22.13,9.0,75.0,522090.0,2999.0
150.42648439,2.51566904,0.9288,-22.6,10.0,50.0,803290.0,6888.0
150.23496569999998,1.74396635,0.9296,-22.92,15.0,52.0,302184.0,4118.0
150.07133659,2.63569351,0.9308,-23.16,15.0,55.0,882552.0,4283.0
149.51919148,2.26539166,0.9323,-23.14,14.0,75.0,637488.0,4094.0
150.43831504,2.15649917,0.9342,-21.62,12.0,55.0,563721.0,5709.0
149.99943878,2.5087705000000002,0.9358,-22.69,11.0,53.0,798287.0,5258.0
150.23498089,2.73652621,0.9359999999999999,-22.92,11.0,55.0,946007.0,4642.0
149.85995134,2.1933594,0.9395,-23.15,8.0,73.0,588407.0,4073.0
149.61832158,2.30168484,0.9407,-21.75,8.0,65.0,659730.0,4213.0
150.28414233,1.87525334,0.9434,-22.6,9.0,61.0,385076.0,2949.0
150.14635029,2.69213013,0.9455,-23.31,10.0,54.0,919377.0,5680.0
149.5103104,2.26011034,0.9472,-23.03,10.0,61.0,634563.0,4535.0
150.70192759999998,2.4177172000000002,0.9477,-21.4,10.0,60.0,737283.0,3177.0
150.53863442,2.13873986,0.9479,-23.16,8.0,58.0,552641.0,4991.0
150.11263185,2.14664148,0.9502,-22.83,10.0,80.0,558911.0,2485.0
149.50671599,2.01222334,0.9512,-22.0,10.0,59.0,470254.0,4995.0
149.51443498,2.60036067,0.9601,-22.09,11.0,52.0,857617.0,4626.0
150.15689417,1.94027157,0.9611,-21.98,13.0,56.0,425332.0,825.0
149.9378436,2.28473948,0.9625,-22.01,10.0,76.0,648988.0,1554.0
149.55463376,1.96316635,0.9632,-21.63,8.0,68.0,439356.0,5984.0
150.10523744,2.69967701,0.9633,-21.66,10.0,57.0,923539.0,3358.0
149.877696,2.13595594,0.9635,-21.81,9.0,63.0,549976.0,6410.0
150.4525449,2.15099049,0.9656,-21.91,8.0,59.0,560303.0,5683.0
150.39164842,2.72178663,0.9664,-21.19,10.0,64.0,935919.0,5137.0
150.03514933,2.13665164,0.9671,-22.27,9.0,74.0,550077.0,6388.0
149.95102817,2.39118037,0.9690000000000001,-20.72,8.0,59.0,720835.0,7005.0
149.669803,1.90169778,0.9704,-22.36,12.0,60.0,401880.0,1136.0
150.28263738,2.54561164,0.9706,-23.28,9.0,52.0,823637.0,5591.0
149.67238129,2.40441369,0.9713,-22.1,8.0,61.0,729854.0,6239.0
149.48146525,2.00626635,0.9713,-23.58,15.0,59.0,468056.0,98.0
150.6632509,2.20074148,0.9729,-22.41,8.0,55.0,593228.0,3025.0
149.56622342,2.47360984,0.9740000000000001,-21.25,8.0,64.0,773877.0,6657.0
149.96437116,2.22013765,0.9745,-21.31,8.0,53.0,605924.0,6365.0
150.5428889,2.27407025,0.9748,-22.11,9.0,66.0,642516.0,5148.0
149.83212245,2.56953815,0.9748,-22.93,18.0,83.0,838905.0,3641.0
149.77965774,2.30467688,0.9756,-21.39,9.0,67.0,661936.0,4462.0
150.50941426,1.94749501,0.976,-22.63,8.0,68.0,430936.0,4678.0
150.23349194,1.7398615000000002,0.9761,-22.76,15.0,58.0,299532.0,4315.0
150.29564681,2.0349543000000003,0.9761,-22.96,8.0,64.0,484128.0,706.0
149.65758972,2.43178252,0.977,-21.44,8.0,53.0,747214.0,6336.0
150.08029079,2.68001648,0.9774,-22.36,8.0,74.0,909449.0,6248.0
150.41282493,1.67770763,0.9781,-23.62,9.0,57.0,261495.0,5985.0
150.10288797,2.29271928,0.9782,-22.11,9.0,52.0,655097.0,6392.0
150.08609377,2.60038177,0.9790000000000001,-23.51,9.0,54.0,859691.0,7118.0
149.71561474,1.79553199,0.9801,-22.25,10.0,63.0,334594.0,5700.0
150.03218374,2.10508243,0.9806,-22.65,8.0,57.0,529414.0,5041.0
150.30239806,1.73081303,0.9833,-22.8,11.0,68.0,294430.0,1209.0
150.45348544,2.49107807,0.9843,-22.38,11.0,81.0,787616.0,4507.0
149.85360769,2.5854975,0.9861,-23.57,9.0,55.0,848867.0,4655.0
