ra,dec,redshift,brightness,richness,total_N,gal_id,cluster_id
150.06263049,2.56961754,0.8817,-23.06,6,51,839016.0,3829
150.4379966,1.82576516,0.8858,-22.29,7,51,353945.0,2735
149.85380787,2.74382096,0.8861,-22.54,8,66,950656.0,5199
150.07750695,2.39457781,0.8865,-22.75,10,55,724736.0,1496
150.07483363,2.53570114,0.8876,-20.98,9,53,815105.0,113
149.95344982,2.66032029,0.8898,-23.32,13,116,898126.0,371
149.90977189,2.70933888,0.89,-22.95,10,50,929191.0,3201
150.09939185,2.51620616,0.8901,-22.36,14,81,802778.0,128
150.4451785,1.84540541,0.8905,-22.81,20,60,366169.0,2984
149.79258779,2.22739091,0.8907,-22.76,11,50,612481.0,1530
149.92996698,2.63321512,0.8928,-22.76,15,53,880648.0,2962
149.65902957,2.22483084,0.8936,-21.83,7,52,611065.0,4226
149.86310952,2.54471014,0.8937,-22.85,10,52,822300.0,4114
150.15781324,2.32927932,0.8942,-21.99,8,71,679881.0,5376
150.08493834,2.53282842,0.8942,-22.66,22,66,814571.0,3132
150.09684738,2.58392726,0.8953,-22.0,8,118,847849.0,5180
149.68354616,2.27059157,0.8973,-22.54,10,68,640821.0,3222
150.10952739,2.5428899,0.8981,-21.5,10,77,820013.0,1743
150.07711443,2.54894154,0.8991,-23.09,9,65,826044.0,412
149.96307538,2.61311548,0.8993,-22.63,10,69,865973.0,4619
149.51913725,1.96486393,0.9,-23.16,7,50,441796.0,3865
149.94839664,2.42274038,0.9,-22.14,8,51,741720.0,3844
150.42003156,2.51410005,0.9001,-22.46,13,54,801102.0,3066
149.73157993,2.24370283,0.901,-21.07,8,62,621782.0,5378
150.15160967,2.60127237,0.9019,-21.96,17,58,858805.0,134
150.15810283,2.40461949,0.9021,-22.69,11,57,730669.0,348
150.18650598,2.59915868,0.9039,-22.29,13,55,857714.0,3445
150.28914872,2.21545632,0.905,-22.6,10,54,603680.0,3671
150.13444113,2.55843671,0.9063,-22.24,7,103,831326.0,2309
150.21565489,2.39564389,0.9073,-22.52,21,82,724007.0,2960
150.09869127,2.54065043,0.9076,-22.69,17,73,819831.0,1606
150.1611572,2.59794107,0.9082,-22.41,14,50,856991.0,4832
149.9197572,2.56732769,0.9083,-22.82,8,50,836963.0,5380
150.05583995,2.57333011,0.9092,-22.86,7,67,841676.0,2086
149.92385758,2.64304218,0.9096,-22.96,10,67,886620.0,3168
149.66967605,2.22710064,0.9105,-20.99,9,62,610828.0,1009
150.20862956,2.41186439,0.9107,-22.41,12,62,734305.0,4843
150.19916519999995,2.32483423,0.911,-22.67,8,50,678323.0,5182
150.10200609,2.52725893,0.913,-21.96,15,70,809469.0,3451
149.99664761,2.1545311000000003,0.9139,-23.42,8,55,563682.0,3052
150.04831825,2.21777788,0.9175,-22.68,14,68,604903.0,407
150.22082616,2.18980785,0.9178,-21.57,9,60,586522.0,4848
150.26111222,2.03134082,0.9195,-22.77,9,56,482409.0,5164
150.20450185,2.05836173,0.9199,-22.69,8,81,500250.0,4961
150.28316336,2.09258971,0.9213,-23.02,11,75,522091.0,963
149.97842859999997,2.31534392,0.9232,-22.24,27,66,669509.0,2957
149.95062232,2.35458838,0.9262,-22.18,8,71,696561.0,221
150.09405357,2.19899872,0.9264,-23.2,11,51,594198.0,156
150.03596001,2.21181762,0.9264,-21.38,12,54,600099.0,16
150.24655713,2.0790776,0.9273,-22.74,8,76,513660.0,1028
