,cluster_id,ra,dec,redshift,group,Ngal,type
9633,549654,149.643931,2.137438,1.1498,6581,14,satellite
9634,549672,150.533785,2.134373,0.543,1160,26,satellite
9635,549688,150.543099,2.136539,0.96,4852,7,satellite
9636,549694,150.132631,2.132814,1.1593,6583,8,satellite
9639,549787,150.065991,2.136098,0.9466,4777,2,satellite
9641,549831,149.647926,2.13732,1.1962,6581,14,satellite
9645,549956,149.598705,2.137156,0.9427,4561,5,satellite
9646,549976,149.877696,2.135956,0.9635,5051,2,satellite
9648,550005,150.422761,2.136062,0.9868,5052,7,satellite
9649,550016,150.392545,2.13743,0.8625,3798,2,satellite
9650,550049,150.446725,2.136557,0.8587,3121,61,satellite
9654,550135,149.62065,2.137041,0.814,3179,2,satellite
9655,550149,150.461021,2.137368,0.8192,3121,61,satellite
9658,550212,149.610257,2.137337,0.9276,4561,5,satellite
9660,550235,149.716227,2.137285,0.7885,2874,5,satellite
9661,550266,150.453081,2.137881,0.889,3121,61,satellite
9662,550287,150.434161,2.137281,0.949,4851,2,satellite
9663,550303,150.559715,2.136187,0.7355,2582,15,satellite
9664,550305,150.187316,2.136545,0.6555,1909,27,satellite
9666,550411,150.50798,2.137661,0.8301,3246,35,satellite
9669,550436,149.710718,2.134427,0.6797,2186,5,satellite
9670,550457,149.517607,2.138267,0.9787,5128,3,satellite
9673,550500,150.519597,2.137883,0.838,3246,35,satellite
9675,550513,149.976083,2.137805,0.9554,4902,2,satellite
9677,550544,150.658127,2.136974,0.9827,4853,8,satellite
9679,550560,150.138379,2.135665,1.1259,6206,16,satellite
9682,550632,150.587388,2.13838,0.86,3376,10,satellite
9683,550633,150.012558,2.138448,0.9337,3455,121,satellite
9685,550638,150.199923,2.135838,0.6656,1909,27,satellite
9687,550705,150.452551,2.137549,0.9113,3121,61,satellite
9688,550725,150.42579,2.134205,0.9995,5052,7,satellite
9689,550727,150.593361,2.136025,0.7374,2582,15,satellite
9691,550765,150.138601,2.134003,0.7309,2441,18,satellite
9694,550802,150.530738,2.136185,0.9584,4852,7,satellite
9695,550826,150.595047,2.136769,0.8423,3376,10,satellite
9696,550829,149.412293,2.138776,1.1802,6982,3,satellite
9697,550835,150.374844,2.13711,0.7285,2615,3,satellite
9699,550864,150.426974,2.135603,0.8647,3121,61,satellite
9700,550878,150.455074,2.137945,0.8162,3121,61,satellite
9702,550886,149.584995,2.138968,0.9908,5254,6,satellite
9705,550910,149.857933,2.137404,0.9007,4127,3,satellite
9707,550928,150.510495,2.138574,0.9095,4185,2,satellite
9708,550949,150.458372,2.13663,0.897,3121,61,satellite
9709,550962,150.451364,2.136684,0.8387,3121,61,satellite
9712,551056,150.688888,2.13885,1.1556,6639,5,satellite
9713,551061,150.599067,2.137846,0.5291,1160,26,satellite
9715,551163,150.567066,2.136727,0.7241,2582,15,satellite
9719,551216,150.110307,2.138666,0.7833,2875,3,satellite
9722,551304,149.488525,2.13846,0.6694,1908,5,satellite
9723,551309,150.444316,2.139035,0.8854,3121,61,satellite
9726,551394,149.631948,2.138769,0.9382,4562,37,satellite
9728,551411,150.450112,2.137917,0.8124,3121,61,satellite
9732,551447,150.009718,2.140095,0.9532,3455,121,satellite
9734,551490,149.840345,2.139398,0.9334,4650,7,satellite
9740,551629,150.712694,2.14045,1.185,7131,2,satellite
9741,551641,150.138757,2.137604,1.1202,6206,16,satellite
9742,551687,149.64737,2.140277,1.1454,6581,14,satellite
9744,551745,149.486323,2.138738,0.4339,803,2,satellite
9747,551844,150.047299,2.139064,0.6918,2246,3,satellite
9748,551856,150.221876,2.140245,1.1345,6357,8,satellite
9749,551880,150.124275,2.13473,0.7088,2475,3,satellite
9750,551945,149.717509,2.139024,0.9404,4715,4,satellite
9757,552040,149.518662,2.139937,0.5631,1408,2,satellite
9761,552157,150.158272,2.136365,1.153,6206,16,satellite
9763,552182,150.430619,2.139866,0.9039,3121,61,satellite
9768,552373,150.454276,2.140568,0.9081,3121,61,satellite
9769,552421,150.541251,2.140763,0.8355,3246,35,satellite
9777,552663,150.280447,2.141073,0.6566,1959,5,satellite
9779,552683,150.154966,2.140906,0.899,4184,2,satellite
9781,552784,149.475404,2.141574,0.9915,5053,13,satellite
9783,552839,150.567678,2.140847,0.9284,4560,4,satellite
9784,552845,149.629895,2.141261,0.9649,4562,37,satellite
9786,552869,150.430137,2.139036,0.87,3121,61,satellite
9790,552959,150.208414,2.138889,0.5994,1623,5,satellite
9792,553024,150.117503,2.141946,0.9776,5255,2,satellite
9793,553028,150.422506,2.136931,0.967,5052,7,satellite
9794,553033,150.510949,2.140248,0.6688,1958,6,satellite
9795,553056,150.684367,2.141062,0.396,627,3,satellite
9797,553105,150.609101,2.141862,0.5596,1390,5,satellite
9798,553118,149.548874,2.14177,0.9584,4719,14,satellite
9799,553120,150.549655,2.140841,0.8239,3246,35,satellite
9800,553125,149.85042,2.141331,1.1338,6582,2,satellite
9802,553149,149.640143,2.141495,0.9652,4562,37,satellite
9804,553187,150.442139,2.140831,0.8747,3121,61,satellite
9805,553201,149.485424,2.139695,0.9811,5053,13,satellite
9806,553288,149.739906,2.141599,0.6973,2335,6,satellite
9807,553315,149.884488,2.142224,0.9963,5461,2,satellite
9811,553527,149.79484,2.14222,1.0026,5460,4,satellite
9812,553555,149.627531,2.142342,0.9497,4562,37,satellite
9813,553587,150.634488,2.142649,0.7388,2616,3,satellite
9814,553613,150.131095,2.141551,1.1506,6583,8,satellite
9815,553672,150.520929,2.141253,0.8271,3246,35,satellite
9818,553714,150.57361,2.142762,0.8367,3376,10,satellite
9819,553721,150.407113,2.142584,0.8396,3120,12,satellite
9821,553800,150.674365,2.142841,1.0881,6035,2,satellite
9822,553804,149.465736,2.140364,0.9901,5053,13,satellite
9823,553814,149.837514,2.141557,0.3633,379,157,satellite
9824,553826,149.832535,2.14225,1.0004,5459,9,satellite
9827,554111,150.520198,2.142799,1.0683,5959,2,satellite
9829,554132,150.510968,2.142888,0.8606,3246,35,satellite
9830,554158,149.782259,2.142588,0.3677,379,157,satellite
9834,554276,149.653993,2.143313,1.1884,6581,14,satellite
9835,554297,150.478506,2.142696,0.9528,4903,3,satellite
9836,554320,149.836756,2.142697,1.0177,5459,9,satellite
9837,554327,150.515688,2.14307,0.8005,2950,5,satellite
9838,554334,150.703264,2.144106,1.06,5860,3,satellite
9839,554349,150.590427,2.142407,0.565,1390,5,satellite
9840,554467,150.548033,2.1413,0.8406,3246,35,satellite
9841,554484,149.433969,2.14219,0.691,2280,7,satellite
9842,554486,150.507268,2.143301,0.7991,2950,5,satellite
9847,554594,150.02678,2.144305,0.9399,3455,121,satellite
