ra,dec,redshift,brightness,LR,gal_id,cluster_id
150.29873309,1.67699518,0.5168,-21.46,29.35,260584.0,0.0
150.2960713,1.67498044,0.5133,-20.19,28.98,258751.0,0.0
150.29962546,1.67715711,0.5231,-22.89,29.79,261108.0,0.0
150.31082977,1.67059816,0.5257,-20.11,28.76,255868.0,0.0
150.30470478,1.66153026,0.5299,-22.37,29.91,250778.0,0.0
150.30123917,1.68996055,0.5299,-22.58,29.65,268559.0,0.0
150.31467208,1.68397677,0.5237,-21.52,29.56,264247.0,0.0
150.28668168,1.69306812,0.5224,-19.55,28.45,269092.0,0.0
150.28202684,1.67881373,0.5206,-21.03,29.13,260649.0,0.0
150.31282925,1.66607147,0.5203,-20.87,29.4,253258.0,0.0
150.31862598,1.68360747,0.5249,-20.19,28.93,263250.0,0.0
150.28524214,1.68628447,0.5263,-21.23,29.19,266054.0,0.0
150.28074546,1.68735837,0.5177,-20.71,28.92,266115.0,0.0
150.28265654,1.68351131,0.528,-21.82,29.35,264392.0,0.0
150.30131747,1.65826755,0.5159,-21.92,29.61,249719.0,0.0
150.28880756,1.69650334,0.526,-19.84,28.71,271348.0,0.0
150.28382694,1.69382199,0.523,-21.22,29.25,270910.0,0.0
150.28043238,1.69165453,0.5325,-21.39,29.17,270336.0,0.0
150.31556615,1.66173988,0.5327,-20.68,28.88,250242.0,0.0
150.27523913,1.67906464,0.5164,-20.91,28.98,261379.0,0.0
150.3037875,1.70590046,0.5223,-21.85,29.37,278541.0,0.0
150.3351109,1.67398422,0.5167,-21.63,29.48,258351.0,0.0
150.32651107,1.6460873,0.5278,-20.6,28.85,240415.0,0.0
150.25303711,1.66990718,0.532,-19.95,28.7,255491.0,0.0
150.28187021,1.71944663,0.5246,-21.54,29.53,287017.0,0.0
150.25264875,1.69391115,0.5195,-19.72,28.64,269952.0,0.0
150.29329688,2.0115088,0.9386,-22.8,29.72,470997.0,1.0
150.29179028,2.01249068,0.9263,-21.45,29.9,470191.0,1.0
150.29434565,2.01923322,0.9272,-20.91,29.37,473721.0,1.0
150.29785828,2.02718363,0.9351,-19.69,28.94,478392.0,1.0
150.30377373,2.00668361,0.9419,-21.85,29.53,467037.0,1.0
150.27913886,2.01819554,0.9313,-20.34,28.9,473576.0,1.0
150.30550248,2.00416631,0.9304,-21.16,29.57,464544.0,1.0
150.2842923,2.01902955,0.9461,-20.28,29.07,473616.0,1.0
150.2845333,2.03010243,0.9394,-20.76,29.2,480826.0,1.0
150.28813656,1.99490585,0.9412,-20.35,29.06,458472.0,1.0
150.29989564,1.99511599,0.93,-21.98,29.58,459248.0,1.0
150.28082743,2.02317669,0.9421,-22.58,30.37,476954.0,1.0
150.27463359,2.0102197,0.9293,-20.76,29.11,468520.0,1.0
150.30843333,2.00409584,0.9441,-21.08,29.03,464396.0,1.0
150.29765999,2.03262316,0.9259,-20.92,29.44,482470.0,1.0
150.28366732,1.99087059,0.9343,-20.94,29.27,456281.0,1.0
150.31011325,2.02872959,0.9401,-19.67,28.82,479306.0,1.0
150.30725592,1.99246474,0.9301,-21.6,29.66,457186.0,1.0
150.27444531,2.02581016,0.9266,-19.83,28.6,477661.0,1.0
150.27329913,2.02551372,0.9468,-22.23,29.9,478423.0,1.0
150.31725306,2.03030874,0.9483,-20.16,28.79,480496.0,1.0
150.30483655,2.03854858,0.9502,-20.94,29.06,486032.0,1.0
150.31626489,2.03340539,0.9399,-20.27,29.55,482073.0,1.0
150.32243749,2.03483795,0.9418,-20.85,29.12,483524.0,1.0
150.25648573,2.00285457,0.9437,-20.79,29.31,463310.0,1.0
150.32533785,2.00225828,0.9405,-21.74,29.47,463450.0,1.0
150.26808592,2.03922602,0.9345,-22.17,29.47,487414.0,1.0
150.27307307,2.03890992,0.9507,-21.35,29.38,486008.0,1.0
150.32087275,2.04209609,0.9471,-21.15,29.21,488045.0,1.0
150.33064339,2.0326938,0.9486,-21.7,29.48,482408.0,1.0
150.25593501,1.98941521,0.9512,-20.17,29.14,454842.0,1.0
150.29976393,2.05431175,0.93,-21.37,29.4,496502.0,1.0
150.29660556,1.96946212,0.93,-21.96,29.68,443368.0,1.0
150.33497029,1.99640623,0.9484,-21.5,29.58,459616.0,1.0
150.25051987,2.02792196,0.9502,-19.79,28.99,478877.0,1.0
150.31754887,1.97001852,0.9503,-19.86,28.66,443037.0,1.0
